#Title: Empirical limb-darkening coefficients & transit parameters of known
#       exoplanets from TESS
#Authors: Jayshil A. Patel and Néstor Espinoza
#Table: Limb darkening coefficients calculated using different methods for
#       quadratic law
#================================================================================
#Byte-by-byte Description of file: ldc_ascii_mrt.dat
#--------------------------------------------------------------------------------
# Bytes Format Units  Label     Explanations
#--------------------------------------------------------------------------------
# 1- 8  A8     ---    name         Name of the host star
#10-13  F4.2   ---    u1_j         [0.13/1.35] u1 determined from juliet analysis
#15-18  F4.2   ---    u1_j_p       [0.01/0.54] upper band of 68% credibility
#20-23  F4.2   ---    u1_j_n       [0.01/0.83] lower band of 68% credibility
#25-29  F5.2   ---    u2_j         [-0.41/0.57] u2 determined from juliet analysis
#31-34  F4.2   ---    u2_j_p       [0.02/0.57] upper band of 68% credibility
#36-39  F4.2   ---    u2_j_n       [0.02/0.47] lower band of 68% credibility
#41-44  F4.2   ---    u1_code_ata  [0.14/0.54] u1 from EJ15 ATLAS
#46-49  F4.2   ---    u2_code_ata  [0.13/0.44] u2 from EJ15 ATLAS
#51-54  F4.2   ---    u1_code_pho  [0.12/0.5] u1 from EJ15 PHOENIX
#56-59  F4.2   ---    u2_code_pho  [0.17/0.56] u2 from EJ15 PHOENIX
#61-64  F4.2   ---    u1_cla_ata   u1 from C17 ATLAS
#66-69  F4.2   ---    u2_cla_ata   u2 from C17 ATLAS
#71-74  F4.2   ---    u1_cla_pho   [0.01/0.45] u1 from C17 PHOENIX
#76-79  F4.2   ---    u2_cla_pho   [0.26/0.72] u2 from C17 PHOENIX
#81-84  F4.2   ---    u1_cla_pho_r [0.11/0.49] u1 from C17 PHOENIX, with r-method
#86-89  F4.2   ---    u2_cla_pho_r [0.18/0.58] u2 from C17 PHOENIX, with r-method
#--------------------------------------------------------------------------------
#Notes: EJ15 means the LDCs calculated using the method by Espinoza & Jordan 
#       (2015) and C17 implies the tabulated values from Claret (2017), with 
#       their r-method (C17r) and q-method (C17q) when using phoenix models.
#--------------------------------------------------------------------------------
WASP-61  0.26 0.12 0.13  0.19 0.24 0.22 0.23 0.31 0.30 0.25 0.23 0.31 0.24 0.38 0.31 0.25
WASP-130 0.25 0.18 0.16  0.43 0.27 0.35 0.36 0.26 0.36 0.23 0.33 0.27 0.30 0.34 0.36 0.23
HATS-13  0.31 0.17 0.17  0.29 0.34 0.33 0.34 0.26 0.37 0.23 0.34 0.26 0.31 0.33 0.37 0.22
WASP-156 0.52 0.14 0.15  0.08 0.28 0.25 0.43 0.21 0.44 0.21 0.45 0.20 0.39 0.30 0.43 0.21
NGTS-4   0.31 0.35 0.22  0.10 0.31 0.24 0.36 0.25 0.40 0.21 0.38 0.23 0.34 0.33 0.40 0.22
WASP-190 0.42 0.20 0.20  0.30 0.30 0.32 0.21 0.32 0.31 0.24 0.22 0.32 0.22 0.39 0.30 0.25
WASP-44  0.44 0.21 0.22  0.30 0.30 0.37 0.34 0.26 0.38 0.23 0.36 0.25 0.32 0.33 0.38 0.22
TOI-892  0.21 0.12 0.12 -0.00 0.17 0.11 0.24 0.32 0.30 0.25 0.24 0.32 0.24 0.38 0.31 0.25
WASP-82  0.35 0.06 0.07  0.07 0.12 0.11 0.21 0.33 0.30 0.24 0.21 0.33 0.20 0.44 0.30 0.24
TOI-540  0.96 0.26 0.24 -0.11 0.23 0.22 0.24 0.39 0.14 0.52 0.00 0.00 0.02 0.72 0.12 0.53
WASP-22  0.19 0.11 0.11  0.30 0.21 0.21 0.26 0.30 0.32 0.25 0.26 0.30 0.26 0.36 0.32 0.25
TOI-905  0.59 0.38 0.37  0.19 0.41 0.44 0.34 0.26 0.36 0.23 0.34 0.27 0.31 0.33 0.37 0.22
HAT-P-42 0.25 0.17 0.15  0.39 0.29 0.31 0.31 0.29 0.35 0.24 0.31 0.28 0.27 0.39 0.34 0.24
WASP-62  0.30 0.01 0.01  0.13 0.03 0.03 0.24 0.31 0.30 0.25 0.24 0.31 0.24 0.37 0.31 0.25
HATS-3   0.22 0.15 0.13  0.20 0.24 0.24 0.23 0.31 0.31 0.24 0.22 0.31 0.23 0.39 0.31 0.24
LTT9779  1.35 0.10 0.11 -0.41 0.12 0.13 0.36 0.26 0.38 0.23 0.36 0.25 0.31 0.35 0.37 0.23
K2-260   0.29 0.15 0.16  0.14 0.31 0.23 0.23 0.31 0.31 0.24 0.22 0.31 0.23 0.39 0.31 0.24
TrES-3   0.45 0.41 0.30  0.11 0.35 0.33 0.29 0.29 0.36 0.23 0.31 0.28 0.30 0.33 0.36 0.23
Qatar-10 0.15 0.10 0.08  0.55 0.20 0.22 0.27 0.30 0.31 0.25 0.25 0.31 0.25 0.38 0.32 0.25
WASP-144 0.26 0.23 0.17  0.29 0.34 0.32 0.39 0.23 0.40 0.22 0.40 0.23 0.34 0.32 0.40 0.22
HD221416 0.55 0.36 0.30  0.19 0.36 0.39 0.41 0.22 0.40 0.23 0.40 0.23 0.25 0.51 0.40 0.22
WASP-182 0.71 0.24 0.27 -0.04 0.40 0.30 0.31 0.29 0.36 0.24 0.33 0.27 0.29 0.37 0.36 0.23
HAT-P-5  0.29 0.15 0.15  0.36 0.31 0.33 0.28 0.30 0.32 0.25 0.28 0.30 0.26 0.37 0.32 0.24
WASP-15  0.24 0.16 0.15  0.14 0.25 0.25 0.23 0.31 0.30 0.25 0.23 0.31 0.24 0.38 0.30 0.25
WASP-73  0.43 0.12 0.14 -0.07 0.21 0.15 0.26 0.31 0.33 0.24 0.26 0.31 0.23 0.44 0.33 0.24
HD1397   0.60 0.06 0.08 -0.24 0.11 0.07 0.35 0.26 0.37 0.24 0.34 0.27 0.24 0.46 0.36 0.24
K2-115   0.40 0.28 0.24  0.23 0.34 0.34 0.29 0.28 0.35 0.23 0.31 0.28 0.30 0.33 0.36 0.23
WASP-161 0.43 0.12 0.14 -0.02 0.26 0.17 0.21 0.33 0.31 0.24 0.22 0.32 0.22 0.40 0.30 0.25
HATS-24  0.23 0.14 0.13  0.19 0.28 0.25 0.23 0.31 0.31 0.25 0.24 0.30 0.25 0.37 0.31 0.25
WASP-79  0.32 0.07 0.07  0.05 0.11 0.10 0.21 0.32 0.30 0.24 0.20 0.32 0.21 0.40 0.29 0.25
XO-3     0.25 0.25 0.17  0.23 0.24 0.32 0.21 0.32 0.31 0.24 0.21 0.31 0.20 0.45 0.31 0.24
KELT-8   0.22 0.19 0.15  0.07 0.21 0.19 0.31 0.29 0.34 0.24 0.31 0.28 0.26 0.40 0.34 0.24
HATS-42  0.21 0.15 0.12  0.08 0.23 0.17 0.27 0.31 0.33 0.24 0.26 0.31 0.25 0.38 0.32 0.24
HAT-P-36 0.26 0.10 0.11  0.38 0.24 0.22 0.35 0.26 0.36 0.23 0.33 0.27 0.30 0.34 0.36 0.23
KELT-1   0.42 0.10 0.12 -0.05 0.19 0.14 0.21 0.33 0.29 0.25 0.21 0.32 0.22 0.39 0.30 0.25
WASP-16  0.51 0.39 0.33  0.20 0.38 0.41 0.30 0.28 0.35 0.23 0.31 0.28 0.30 0.34 0.36 0.23
WASP-99  0.40 0.05 0.05  0.09 0.09 0.08 0.24 0.32 0.31 0.25 0.25 0.31 0.25 0.38 0.31 0.25
HD2685   0.34 0.04 0.04 -0.01 0.07 0.07 0.19 0.33 0.29 0.24 0.19 0.33 0.20 0.40 0.28 0.25
WASP-121 0.22 0.02 0.02  0.23 0.05 0.04 0.21 0.33 0.30 0.24 0.22 0.32 0.22 0.39 0.30 0.25
HAT-P-50 0.43 0.18 0.19  0.19 0.28 0.26 0.23 0.31 0.32 0.24 0.23 0.31 0.23 0.41 0.31 0.24
TOI-954  0.59 0.15 0.18 -0.12 0.31 0.18 0.31 0.29 0.35 0.24 0.31 0.28 0.25 0.42 0.35 0.24
HATS-27  0.39 0.25 0.23  0.16 0.35 0.30 0.21 0.33 0.31 0.24 0.22 0.32 0.22 0.41 0.30 0.25
WASP-93  1.15 0.54 0.83 -0.36 0.56 0.40 0.19 0.34 0.29 0.24 0.19 0.33 0.21 0.40 0.29 0.25
HATS-41  0.65 0.38 0.37  0.08 0.41 0.38 0.21 0.35 0.31 0.24 0.22 0.33 0.22 0.40 0.30 0.25
HATS-29  0.54 0.27 0.28  0.12 0.38 0.34 0.31 0.28 0.35 0.23 0.32 0.27 0.29 0.35 0.36 0.23
HATS-60  0.17 0.18 0.12  0.26 0.27 0.24 0.31 0.29 0.35 0.24 0.32 0.28 0.28 0.38 0.35 0.24
HAT-P-2  0.41 0.08 0.08 -0.05 0.13 0.12 0.21 0.33 0.31 0.24 0.22 0.32 0.23 0.39 0.30 0.25
WASP-97  0.45 0.06 0.06  0.03 0.12 0.12 0.31 0.28 0.36 0.23 0.33 0.27 0.30 0.34 0.36 0.23
HATS-45  0.55 0.21 0.23  0.19 0.31 0.34 0.21 0.32 0.29 0.25 0.22 0.32 0.23 0.38 0.30 0.25
WASP-166 0.28 0.17 0.15  0.36 0.23 0.27 0.28 0.30 0.32 0.25 0.27 0.30 0.25 0.37 0.32 0.24
HATS-63  0.55 0.32 0.32  0.12 0.36 0.34 0.31 0.28 0.36 0.23 0.32 0.27 0.29 0.35 0.36 0.23
HAT-P-31 0.37 0.28 0.24  0.14 0.32 0.33 0.27 0.30 0.31 0.25 0.26 0.31 0.25 0.38 0.32 0.24
TOI-1728 0.28 0.22 0.18  0.23 0.33 0.32 0.46 0.21 0.31 0.33 0.44 0.22 0.20 0.48 0.27 0.36
L168-9   0.27 0.26 0.17  0.06 0.27 0.19 0.42 0.24 0.35 0.32 0.49 0.19 0.24 0.51 0.35 0.32
HATS-46  0.59 0.27 0.29  0.10 0.38 0.34 0.33 0.27 0.37 0.23 0.34 0.26 0.31 0.33 0.37 0.22
TOI-481  0.29 0.06 0.06  0.31 0.10 0.11 0.31 0.29 0.35 0.24 0.31 0.28 0.26 0.40 0.34 0.24
